index,rank,song,artist_base,artist_all,year,artist_featured
0,1,the battle of new orleans,johnny horton,johnny horton,1959,
1,2,mack the knife,bobby darin,bobby darin,1959,
2,3,personality,lloyd price,lloyd price,1959,
3,4,venus,frankie avalon,frankie avalon,1959,
4,5,lonely boy,paul anka,paul anka,1959,
5,6,dream lover,bobby darin,bobby darin,1959,
6,7,the three bells,the browns,the browns,1959,
7,8,come softly to me,the fleetwoods,the fleetwoods,1959,
8,9,kansas city,wilbert harrison,wilbert harrison,1959,
9,10,mr. blue,the fleetwoods,the fleetwoods,1959,
10,11,sleep walk,santo & johnny,santo & johnny,1959,
11,12,put your head on my shoulder,paul anka,paul anka,1959,
12,13,stagger lee,lloyd price,lloyd price,1959,
13,14,donna,ritchie valens,ritchie valens,1959,
14,15,pink shoe laces,dodie stevens,dodie stevens,1959,
15,16,smoke gets in your eyes,the platters,the platters,1959,
16,17,charlie brown,the coasters,the coasters,1959,
17,18,quiet village,martin denny,martin denny,1959,
18,19,my heart is an open book,carl dobkins jr.,carl dobkins jr.,1959,
19,20,(till) i kissed you,the everly brothers,the everly brothers,1959,
20,21,sea of love,phil phillips,phil phillips,1959,
21,22,the happy organ,dave cortez,dave cortez,1959,
22,23,i'm gonna get married,lloyd price,lloyd price,1959,
23,24,sorry (i ran all the way home),the impalas,the impalas,1959,
24,25,a teenager in love,dion and the belmonts,dion and the belmonts,1959,
25,26,16 candles,the crests,the crests,1959,
26,27,it's just a matter of time,brook benton,brook benton,1959,
27,28,lipstick on your collar,connie francis,connie francis,1959,
28,29,there goes my baby,the drifters,the drifters,1959,
29,30,a big hunk o' love,elvis presley,elvis presley,1959,
30,31,red river rock,johnny and the hurricanes,johnny and the hurricanes,1959,
31,32,waterloo,stonewall jackson,stonewall jackson,1959,
32,33,lavender blue,sammy turner,sammy turner,1959,
33,34,night,elvis presley,elvis presley,1959,
34,35,guitar boogie shuffle,the virtues,the virtues,1959,
35,36,teen beat,sandy nelson,sandy nelson,1959,
36,37,"kookie, kookie (lend me your comb)",edd byrnes,edd byrnes  &  connie stevens,1959,
37,38,tragedy,thomas wayne,thomas wayne,1959,
38,39,my happiness,connie francis,connie francis,1959,
39,40,tallahassee lassie,freddy cannon,freddy cannon,1959,
40,41,tiger,fabian forte,fabian,1959,
41,42,never be anyone else but you,ricky nelson,ricky nelson,1959,
42,43,don't you know?,della reese,della reese,1959,
43,44,i need your love tonight,elvis presley,elvis presley,1959,
44,45,what a diff'rence a day makes,dinah washington,dinah washington,1959,
45,46,the all american boy,bobby bare,bill parsons,1959,
46,47,primrose lane,jerry wallace,jerry wallace,1959,
47,48,alvin's harmonica,the chipmunks,the chipmunks,1959,
48,49,lonely street,andy williams,andy williams,1959,
49,50,what'd i say,ray charles,ray charles,1959,
50,51,broken hearted melody,sarah vaughan,sarah vaughan,1959,
51,52,only you (and you alone),franck pourcel,franck pourcel,1959,
52,53,gotta travel on,billy grammer,billy grammer,1959,
53,54,poison ivy,the coasters,the coasters,1959,
54,55,turn me loose,fabian forte,fabian,1959,
55,56,lonely teardrops,jackie wilson,jackie wilson,1959,
56,57,hawaiian wedding song,andy williams,andy williams,1959,
57,58,the old lamplighter,duane eddy,duane eddy,1959,
58,59,just ask your heart,frankie avalon,frankie avalon,1959,
59,60,tell him no,travis and bob,travis and bob,1959,
60,61,frankie,connie francis,connie francis,1959,
61,62,i've had it,the safaris,the bell notes,1959,
62,63,i cried a tear,lavern baker,lavern baker,1959,
63,64,enchanted,the platters,the platters,1959,
64,65,since i don't have you,the skyliners,the skyliners,1959,
65,66,peter gunn theme,ray anthony,ray anthony,1959,
66,67,the chipmunk song (christmas don't be late),the chipmunks,the chipmunks,1959,
67,68,i want to walk you home,fats domino,fats domino,1959,
68,69,so fine,the fiestas,the fiestas,1959,
69,70,bobby sox to stockings,frankie avalon,frankie avalon,1959,
70,71,the deck of cards,wink martindale,wink martindale,1959,
71,72,a lover's question,clyde mcphatter,clyde mcphatter,1959,
72,73,i only have eyes for you,the flamingos,the flamingos,1959,
73,74,it's late,ricky nelson,ricky nelson,1959,
74,75,petite fleur,chris barber,chris barber's jazz band,1959,
75,76,tall paul,annette funicello,annette funicello,1959,
76,77,the tijuana jail,the kingston trio,the kingston trio,1959,
77,78,just a little too much,ricky nelson,ricky nelson,1959,
78,79,goodbye baby,jack scott,jack scott,1959,
79,80,along came jones,the coasters,the coasters,1959,
80,81,three stars,tommy dee,tommy dee  & carol kay,1959,
81,82,a boy without a girl,frankie avalon,frankie avalon,1959,
82,83,sweeter than you,ricky nelson,ricky nelson,1959,
83,84,it was i,skip & flip,skip & flip,1959,
84,85,"goodbye jimmy, goodbye",kathy linden,kathy linden,1959,
85,86,manhattan spiritual,reg owen,reg owen orchestra,1959,
86,87,endlessly,brook benton,brook benton,1959,
87,88,heartaches by the number,guy mitchell,guy mitchell,1959,
88,89,sea cruise,frankie ford,frankie ford,1959,
89,90,that's why (i love you so),jackie wilson,jackie wilson,1959,
90,91,you're so fine,the falcons,the falcons,1959,
91,92,kissin' time,bobby rydell,bobby rydell,1959,
92,93,my wish came true,elvis presley,elvis presley,1959,
93,94,morgen,ivo robić,ivo robić,1959,
94,95,baby talk,jan and dean,jan and dean,1959,
95,96,take a message to mary,the everly brothers,the everly brothers,1959,
96,97,the battle hymn of the republic,mormon tabernacle choir,mormon tabernacle choir,1959,
97,98,bongo rock,preston epps,preston epps,1959,
98,99,in the mood,ernie fields,ernie fields,1959,
99,100,seven little girls sitting in the back seat,paul evans,paul evans,1959,
0,1,theme from a summer place,percy faith,percy faith,1960,
1,2,he'll have to go,jim reeves,jim reeves,1960,
2,3,cathy's clown,the everly brothers,the everly brothers,1960,
3,4,running bear,johnny preston,johnny preston,1960,
4,5,teen angel,mark dinning,mark dinning,1960,
5,6,i'm sorry,brenda lee,brenda lee,1960,
6,7,it's now or never,elvis presley,elvis presley,1960,
7,8,handy man,jimmy jones,jimmy jones,1960,
8,9,stuck on you,elvis presley,elvis presley,1960,
9,10,the twist,chubby checker,chubby checker,1960,
10,11,everybody's somebody's fool,connie francis,connie francis,1960,
11,12,wild one,bobby rydell,bobby rydell,1960,
12,13,greenfields,the brothers four,the brothers four,1960,
13,14,what in the world's come over you,jack scott,jack scott,1960,
14,15,el paso,marty robbins,marty robbins,1960,
15,16,alley oop,the hollywood argyles,the hollywood argyles,1960,
16,17,my heart has a mind of its own,connie francis,connie francis,1960,
17,18,sweet nothin's,brenda lee,brenda lee,1960,
18,19,itsy bitsy teenie weenie yellow polka dot bikini,brian hyland,brian hyland,1960,
19,20,only the lonely,roy orbison,roy orbison,1960,
20,21,where or when,dion and the belmonts,dion and the belmonts,1960,
21,22,sixteen reasons,connie stevens,connie stevens,1960,
22,23,puppy love,paul anka,paul anka,1960,
23,24,why,frankie avalon,frankie avalon,1960,
24,25,"walk, don't run",the ventures,the ventures,1960,
25,26,save the last dance for me,the drifters,the drifters,1960,
26,27,baby (you've got what it takes),dick and deedee,dinah washington  &  brook benton,1960,
27,28,sink the bismarck,johnny horton,johnny horton,1960,
28,29,chain gang,sam cooke,sam cooke,1960,
29,30,let it be me,the everly brothers,the everly brothers,1960,
30,31,good timin',jimmy jones,jimmy jones,1960,
31,32,beyond the sea,bobby darin,bobby darin,1960,
32,33,"go, jimmy, go",jimmy clanton,jimmy clanton,1960,
33,34,"<a href=""/wiki/night_(jackie_wilson_song)"" title=""night (jackie wilson song)"">""night""</a>",jackie wilson,jackie wilson,1960,
34,35,burning bridges,jack scott,jack scott,1960,
35,36,the big hurt,toni fisher,toni fisher,1960,
36,37,because they're young,duane eddy,duane eddy,1960,
37,38,lonely blue boy,conway twitty,conway twitty,1960,
38,39,pretty blue eyes,steve lawrence,steve lawrence,1960,
39,40,way down yonder in new orleans,freddy cannon,freddy cannon,1960,
40,41,paper roses,anita bryant,anita bryant,1960,
41,42,mr. custer,larry verne,larry verne,1960,
42,43,i want to be wanted,brenda lee,brenda lee,1960,
43,44,mule skinner blues,the fendermen,the fendermen,1960,
44,45,cradle of love,johnny preston,johnny preston,1960,
45,46,you got what it takes,dion,marv johnson,1960,
46,47,"please help me, i'm falling",hank locklin,hank locklin,1960,
47,48,love you so,ron holden,ron holden,1960,
48,49,finger poppin' time,hank ballard,hank ballard  &  the midnighters,1960,
49,50,harbor lights,the platters,the platters,1960,
50,51,let the little girl dance,billy bland,billy bland,1960,
51,52,he'll have to stay,jeanne black,jeanne black,1960,
52,53,theme from ,ferrante & teicher,ferrante & teicher,1960,
53,54,volare,bobby rydell,bobby rydell,1960,
54,55,a million to one,jimmy charles,jimmy charles,1960,
55,56,the village of st. bernadette,andy williams,andy williams,1960,
56,57,white silver sands,bill black's combo,bill black's combo,1960,
57,58,the old lamp-lighter,the browns,the browns,1960,
58,59,devil or angel,bobby vee,bobby vee,1960,
59,60,down by the station,the four preps,the four preps,1960,
60,61,forever,the little dippers,the little dippers,1960,
61,62,image of a girl,the safaris,the safaris  & the phantom's band,1960,
62,63,kiddio,brook benton,brook benton,1960,
63,64,mission bell,donnie brooks,donnie brooks,1960,
64,65,i love the way you love,marv johnson,marv johnson,1960,
65,66,it's time to cry,paul anka,paul anka,1960,
66,67,tell laura i love her,ray peterson,ray peterson,1960,
67,68,mama,connie francis,connie francis,1960,
68,69,footsteps,steve lawrence,steve lawrence,1960,
69,70,so sad,the everly brothers,the everly brothers,1960,
70,71,that's all you gotta do,brenda lee,brenda lee,1960,
71,72,walking to new orleans,fats domino,fats domino,1960,
72,73,among my souvenirs,connie francis,connie francis,1960,
73,74,swingin' school,bobby rydell,bobby rydell,1960,
74,75,a rockin' good way (to mess around and fall in love),dinah washington,dinah washington  &  brook benton,1960,
75,76,stairway to heaven,neil sedaka,neil sedaka,1960,
76,77,my home town,paul anka,paul anka,1960,
77,78,georgia on my mind,ray charles,ray charles,1960,
78,79,cherry pie,skip and flip,skip and flip,1960,
79,80,wonderful world,sam cooke,sam cooke,1960,
80,81,tracy's theme,robert mersey,spencer ross,1960,
81,82,lady luck,lloyd price,lloyd price,1960,
82,83,step by step,the crests,the crests,1960,
83,84,happy-go-lucky me,paul evans,paul evans,1960,
84,85,young emotions,ricky nelson,ricky nelson,1960,
85,86,dreamin',johnny burnette,johnny burnette,1960,
86,87,poetry in motion,johnny tillotson,johnny tillotson,1960,
87,88,o dio mio,annette funicello,annette funicello,1960,
88,89,you talk too much,joe jones,joe jones,1960,
89,90,beatnik fly,johnny and the hurricanes,johnny and the hurricanes,1960,
90,91,when will i be loved,the everly brothers,the everly brothers,1960,
91,92,let's think about living,bob luman,bob luman,1960,
92,93,heartaches by the number,guy mitchell,guy mitchell,1960,
93,94,my little corner of the world,anita bryant,anita bryant,1960,
94,95,doggin' around,jackie wilson,jackie wilson,1960,
95,96,little bitty girl,bobby rydell,bobby rydell,1960,
96,97,money (that's what i want),barrett strong,barrett strong,1960,
97,98,stay,maurice williams and the zodiacs,maurice williams and the zodiacs,1960,
98,99,lonely weekends,charlie rich,charlie rich,1960,
99,100,sandy,larry hall,larry hall,1960,
0,1,tossin' and turnin',bobby lewis,bobby lewis,1961,
1,2,i fall to pieces,patsy cline,patsy cline,1961,
2,3,michael,the highwaymen,the highwaymen,1961,
3,4,crying,roy orbison,roy orbison,1961,
4,5,runaway,del shannon,del shannon,1961,
5,6,my true story,the jive five,the jive five,1961,
6,7,pony time,chubby checker,chubby checker,1961,
7,8,wheels,the string-a-longs,the string-a-longs,1961,
8,9,raindrops,dee clark,dee clark,1961,
9,10,wooden heart,joe dowell,joe dowell,1961,
10,11,calcutta,lawrence welk,lawrence welk,1961,
11,12,take good care of my baby,dion,bobby vee,1961,
12,13,running scared,roy orbison,roy orbison,1961,
13,14,dedicated to the one i love,the shirelles,the shirelles,1961,
14,15,last night,the mar-keys,the mar-keys,1961,
15,16,will you love me tomorrow,the shirelles,the shirelles,1961,
16,17,exodus,ferrante & teicher,ferrante & teicher,1961,
17,18,where the boys are,connie francis,connie francis,1961,
18,19,hit the road jack,ray charles,ray charles,1961,
19,20,sad movies (make me cry),sue thompson,sue thompson,1961,
20,21,mother-in-law,ernie k-doe,ernie k-doe,1961,
21,22,bristol stomp,the dovells,the dovells,1961,
22,23,travelin' man,ricky nelson,ricky nelson,1961,
23,24,shop around,the miracles,the miracles,1961,
24,25,the boll weevil song,brook benton,brook benton,1961,
25,26,a hundred pounds of clay,gene mcdaniels,gene mcdaniels,1961,
26,27,the mountain's high,dick and dee dee,dick and dee dee,1961,
27,28,don't worry,marty robbins,marty robbins,1961,
28,29,on the rebound,floyd cramer,floyd cramer,1961,
29,30,portrait of my love,steve lawrence,steve lawrence,1961,
30,31,quarter to three,gary u.s. bonds,gary u.s. bonds,1961,
31,32,"who put the bomp (in the bomp, bomp, bomp)",barry mann,barry mann,1961,
32,33,calendar girl,neil sedaka,neil sedaka,1961,
33,34,i like it like that,chris kenner,chris kenner,1961,
34,35,apache,jørgen ingmann,jørgen ingmann,1961,
35,36,don't bet money honey,linda scott,linda scott,1961,
36,37,without you,johnny tillotson,johnny tillotson,1961,
37,38,wings of a dove,ferlin husky,ferlin husky,1961,
38,39,theme from dr kildare,elvis presley,elvis presley,1961,
39,40,blue moon,the marcels,the marcels,1961,
40,41,daddy's home,shep and the limelites,shep and the limelites,1961,
41,42,this time,troy shondell,troy shondell,1961,
42,43,(i don't know why) but i do,"clarence ""frogman"" henry","clarence ""frogman"" henry",1961,
43,44,asia minor,jimmy wisner,kokomo,1961,
44,45,hello walls,faron young,faron young,1961,
45,46,runaround sue,dion dimucci,dion,1961,
46,47,yellow bird,arthur lyman,arthur lyman,1961,
47,48,hurt,timi yuro,timi yuro,1961,
48,49,hello mary lou,ricky nelson,ricky nelson,1961,
49,50,there's a moon out tonight,the capris,the capris,1961,
50,51,surrender,elvis presley,elvis presley,1961,
51,52,i love how you love me,the paris sisters,the paris sisters,1961,
52,53,ya ya,lee dorsey,lee dorsey,1961,
53,54,school is out,gary u.s. bonds,gary u.s. bonds,1961,
54,55,mexico,bob moore,bob moore,1961,
55,56,you don't know what you've got (until you lose it),ral donner,ral donner,1961,
56,57,walk right back,the everly brothers,the everly brothers,1961,
57,58,the way you look tonight,the lettermen,the lettermen,1961,
58,59,moody river,pat boone,pat boone,1961,
59,60,one mint julep,ray charles,ray charles,1961,
60,61,take good care of her,adam wade,adam wade,1961,
61,62,gee whiz (look at his eyes),carla thomas,carla thomas,1961,
62,63,stand by me,ben e. king,ben e. king,1961,
63,64,spanish harlem,ben e. king,ben e. king,1961,
64,65,it's gonna work out fine,ike and tina turner,ike and tina turner,1961,
65,66,baby blue,the echoes,the echoes,1961,
66,67,baby sittin' boogie,dion,buzz clifford,1961,
67,68,hats off to larry,del shannon,del shannon,1961,
68,69,those oldies but goodies,little caesar & the romans,little caesar & the romans,1961,
69,70,the fly,chubby checker,chubby checker,1961,
70,71,(marie's the name) his latest flame,elvis presley,elvis presley,1961,
71,72,wonderland by night,bert kaempfert,bert kaempfert,1961,
72,73,bless you,tony orlando,tony orlando,1961,
73,74,i've told every little star,linda scott,linda scott,1961,
74,75,one track mind,bobby lewis,bobby lewis,1961,
75,76,angel baby,rosie and the originals,rosie and the originals,1961,
76,77,pretty little angel eyes,curtis lee,curtis lee,1961,
77,78,think twice,brook benton,brook benton,1961,
78,79,does your chewing gum lose its flavour (on the bedpost overnight?),lonnie donegan,lonnie donegan,1961,
79,80,breakin' in a brand new broken heart,connie francis,connie francis,1961,
80,81,mama said,the shirelles,the shirelles,1961,
81,82,let the four winds blow,fats domino,fats domino,1961,
82,83,the writing on the wall,adam wade,adam wade,1961,
83,84,my kind of girl,dick and deedee,matt monro,1961,
84,85,"tonight my love, tonight",paul anka,paul anka,1961,
85,86,san antonio rose,dion,floyd cramer,1961,
86,87,big bad john,jimmy dean,jimmy dean,1961,
87,88,good time baby,bobby rydell,bobby rydell,1961,
88,89,rubber ball,bobby vee,bobby vee,1961,
89,90,missing you,ray peterson,ray peterson,1961,
90,91,dum dum,brenda lee,brenda lee,1961,
91,92,i'm gonna knock on your door,eddie hodges,eddie hodges,1961,
92,93,you can depend on me,brenda lee,brenda lee,1961,
93,94,let's twist again,chubby checker,chubby checker,1961,
94,95,take five,the dave brubeck quartet,the dave brubeck quartet,1961,
95,96,are you lonesome tonight?,elvis presley,elvis presley,1961,
96,97,sea of heartbreak,don gibson,don gibson,1961,
97,98,more money for you and me,the four preps,the four preps,1961,
98,99,you must have been a beautiful baby,bobby darin,bobby darin,1961,
99,100,please stay,the drifters,the drifters,1961,
0,1,stranger on the shore,acker bilk,acker bilk,1962,
1,2,i can't stop loving you,ray charles,ray charles,1962,
2,3,mashed potato time,dee dee sharp,dee dee sharp,1962,
3,4,roses are red (my love),bobby vinton,bobby vinton,1962,
4,5,the stripper,david rose,david rose,1962,
5,6,johnny angel,shelley fabares,shelley fabares,1962,
6,7,the loco-motion,little eva,little eva,1962,
7,8,let me in,the sensations,the sensations,1962,
8,9,the twist,chubby checker,chubby checker,1962,
9,10,soldier boy,the shirelles,the shirelles,1962,
10,11,hey! baby,bruce channel,bruce channel,1962,
11,12,the wanderer,dion dimucci,dion,1962,
12,13,duke of earl,gene chandler,gene chandler,1962,
13,14,palisades park,freddy cannon,freddy cannon,1962,
14,15,breaking up is hard to do,neil sedaka,neil sedaka,1962,
15,16,wolverton mountain,claude king,claude king,1962,
16,17,slow twistin',chubby checker,chubby checker  &  dee dee sharp,1962,
17,18,it keeps right on a-hurtin',johnny tillotson,johnny tillotson,1962,
18,19,the one who really loves you,mary wells,mary wells,1962,
19,20,good luck charm,elvis presley,elvis presley,1962,
20,21,midnight in moscow,kenny ball,kenny ball,1962,
21,22,sheila,tommy roe,tommy roe,1962,
22,23,twistin' the night away,sam cooke,sam cooke,1962,
23,24,the wah-watusi,the orlons,the orlons,1962,
24,25,peppermint twist,joey dee and the starliters,joey dee and the starliters,1962,
25,26,break it to me gently,brenda lee,brenda lee,1962,
26,27,playboy,the marvelettes,the marvelettes,1962,
27,28,ramblin' rose,nat king cole,nat king cole,1962,
28,29,sealed with a kiss,brian hyland,brian hyland,1962,
29,30,she cried,jay and the americans,jay and the americans,1962,
30,31,don't break the heart that loves you,connie francis,connie francis,1962,
31,32,dear lady twist,dion,gary u.s. bonds,1962,
32,33,norman,sue thompson,sue thompson,1962,
33,34,love letters,ketty lester,ketty lester,1962,
34,35,party lights,claudine clark,claudine clark,1962,
35,36,cotton fields,the highwaymen,the highwaymen,1962,
36,37,alley cat,bent fabric,bent fabric,1962,
37,38,twist and shout,the isley brothers,the isley brothers,1962,
38,39,theme from dr. kildare (three stars will shine tonight),richard chamberlain,richard chamberlain,1962,
39,40,tuff,ace cannon,ace cannon,1962,
40,41,lover please,clyde mcphatter,clyde mcphatter,1962,
41,42,i know (you don't love me no more),barbara george,barbara george,1962,
42,43,young world,ricky nelson,ricky nelson,1962,
43,44,baby it's you,the shirelles,the shirelles,1962,
44,45,speedy gonzales,pat boone,pat boone,1962,
45,46,a little bitty tear,burl ives,burl ives,1962,
46,47,crying in the rain,the everly brothers,the everly brothers,1962,
47,48,memphis,emilio pericoli,emilio pericoli,1962,
48,49,shout! shout! (knock yourself out),ernie maresca,ernie maresca,1962,
49,50,what's your name,don and juan,don and juan,1962,
50,51,smoky places,the corsairs,the corsairs,1962,
51,52,having a party,sam cooke,sam cooke,1962,
52,53,green onions,booker t. & the m.g.'s,booker t. & the m.g.'s,1962,
53,54,you don't know me,ray charles,ray charles,1962,
54,55,sherry,the four seasons,the four seasons,1962,
55,56,johnny get angry,joanie sommers,joanie sommers,1962,
56,57,can't help falling in love,elvis presley,elvis presley,1962,
57,58,shout,joey dee and the starliters,joey dee and the starliters,1962,
58,59,rinky dink,"dave ""baby"" cortez","dave ""baby"" cortez",1962,
59,60,moon river,henry mancini,henry mancini,1962,
60,61,ahab the arab,ray stevens,ray stevens,1962,
61,62,things,bobby darin,bobby darin,1962,
62,63,(the man who shot) liberty valance,gene pitney,gene pitney,1962,
63,64,you belong to me,the duprees,the duprees,1962,
64,65,dream baby (how long must i dream),roy orbison,roy orbison,1962,
65,66,snap your fingers,joe henderson,joe henderson,1962,
66,67,lovers who wander,dion dimucci,dion,1962,
67,68,let's dance,chris montez,chris montez,1962,
68,69,cindy's birthday,johnny crawford,johnny crawford,1962,
69,70,you beat me to the punch,mary wells,mary wells,1962,
70,71,you'll lose a good thing,barbara lynn,barbara lynn,1962,
71,72,uptown,the crystals,the crystals,1962,
72,73,everybody loves me but you,brenda lee,brenda lee,1962,
73,74,patches,dickey lee,dickey lee,1962,
74,75,venus in blue jeans,jimmy clanton,jimmy clanton,1962,
75,76,love me warm and tender,dion,paul anka,1962,
76,77,teen age idol,ricky nelson,rick nelson,1962,
77,78,she's got you,patsy cline,patsy cline,1962,
78,79,dear one,larry finnegan,larry finnegan,1962,
79,80,her royal majesty,james darren,james darren,1962,
80,81,old rivers,walter brennan,walter brennan,1962,
81,82,funny way of laughin',burl ives,burl ives,1962,
82,83,a swingin' safari,billy vaughn,billy vaughn,1962,
83,84,tell me,dick and dee dee,dick and dee dee,1962,
84,85,pt-109,jimmy dean,jimmy dean,1962,
85,86,little diane,dion dimucci,dion,1962,
86,87,percolator (twist),lew bedell,billy joe and the checkmates,1962,
87,88,"twist, twist senora",gary u.s. bonds,gary u.s. bonds,1962,
88,89,fly me to the moon,jimmy soul,jimmy soul,1962,
89,90,gravy (for my mashed potatoes),dee dee sharp,dee dee sharp,1962,
90,91,walk on the wild side,jimmy smith,jimmy smith,1962,
91,92,soul twist,king curtis,king curtis,1962,
92,93,i'll never dance again,bobby rydell,bobby rydell,1962,
93,94,i'm blue (the gong-gong song),the ikettes,the ikettes,1962,
94,95,where have all the flowers gone?,the kingston trio,the kingston trio,1962,
95,96,"(girls, girls, girls) made to love",eddie hodges,eddie hodges,1962,
96,97,town without pity,gene pitney,gene pitney,1962,
97,98,if i had a hammer,"peter, paul and mary","peter, paul and mary",1962,
98,99,i wish that we were married,ronnie & the hi-lites,ronnie & the hi-lites,1962,
99,100,surfin' safari,the beach boys,the beach boys,1962,
0,1,surfin' u.s.a.,the beach boys,the beach boys,1963,
1,2,the end of the world,skeeter davis,skeeter davis,1963,
2,3,rhythm of the rain,the cascades,the cascades,1963,
3,4,he's so fine,the chiffons,the chiffons,1963,
4,5,blue velvet,bobby vinton,bobby vinton,1963,
5,6,hey paula,paul & paula,paul & paula,1963,
6,7,fingertips,stevie wonder,little stevie wonder,1963,
7,8,can't get used to losing you,andy williams,andy williams,1963,
8,9,my boyfriend's back,the angels,the angels,1963,
9,10,sukiyaki,kyu sakamoto,kyu sakamoto,1963,
10,11,so much in love,the tymes,the tymes,1963,
11,12,"puff, the magic dragon","peter, paul & mary","peter, paul & mary",1963,
12,13,blowin' in the wind,"peter, paul & mary","peter, paul & mary",1963,
13,14,wipe out,the surfaris,the surfaris,1963,
14,15,i love you because,al martino,al martino,1963,
15,16,wild weekend,the rebels,the rebels,1963,
16,17,you're the reason i'm living,bobby darin,bobby darin,1963,
17,18,walk like a man,the four seasons,the four seasons,1963,
18,19,mockingbird,inez & charlie foxx,inez & charlie foxx,1963,
19,20,i will follow him,peggy march,little peggy march,1963,
20,21,pipeline,the chantays,the chantays,1963,
21,22,surf city,jan & dean,jan & dean,1963,
22,23,it's my party,lesley gore,lesley gore,1963,
23,24,blame it on the bossa nova,eydie gormé,eydie gormé,1963,
24,25,you can't sit down,the dovells,the dovells,1963,
25,26,heat wave,martha & the vandellas,martha & the vandellas,1963,
26,27,denise,randy & the rainbows,randy & the rainbows,1963,
27,28,walk right in,the rooftop singers,the rooftop singers,1963,
28,29,if you wanna be happy,jimmy soul,jimmy soul,1963,
29,30,if i had a hammer,trini lopez,trini lopez,1963,
30,31,easier said than done,the essex,the essex,1963,
31,32,ruby baby,dion dimucci,dion,1963,
32,33,our day will come,ruby & the romantics,ruby & the romantics,1963,
33,34,hello stranger,barbara lewis,barbara lewis,1963,
34,35,be my baby,the ronettes,the ronettes,1963,
35,36,south street,the orlons,the orlons,1963,
36,37,days of wine and roses,henry mancini,henry mancini,1963,
37,38,the monkey time,major lance,major lance,1963,
38,39,candy girl,the four seasons,the four seasons,1963,
39,40,sugar shack,the fireballs,jimmy gilmer and the fireballs,1963,
40,41,still,bill anderson,bill anderson,1963,
41,42,blue on blue,bobby vinton,bobby vinton,1963,
42,43,cry baby,the rip chords,garnet mimms  & the enchanters,1963,
43,44,two faces have i,lou christie,lou christie,1963,
44,45,busted,ray charles,ray charles,1963,
45,46,da doo ron ron,the crystals,the crystals,1963,
46,47,foolish little girl,the shirelles,the shirelles,1963,
47,48,memphis,lonnie mack,lonnie mack,1963,
48,49,in dreams,roy orbison,roy orbison,1963,
49,50,more,kai winding,kai winding,1963,
50,51,i can't stay mad at you,skeeter davis,skeeter davis,1963,
51,52,losing you,brenda lee,brenda lee,1963,
52,53,mean woman blues,roy orbison,roy orbison,1963,
53,54,our winter love,bill pursell,bill pursell,1963,
54,55,i wanna be around,tony bennett,tony bennett,1963,
55,56,you've really got a hold on me,the miracles,the miracles,1963,
56,57,sally go 'round the roses,the jaynetts,the jaynetts,1963,
57,58,(you're the) devil in disguise,elvis presley,elvis presley,1963,
58,59,those lazy-hazy-crazy days of summer,nat king cole,nat king cole,1963,
59,60,baby workout,jackie wilson,jackie wilson,1963,
60,61,pride and joy,marvin gaye,marvin gaye,1963,
61,62,deep purple,nino tempo & april stevens,nino tempo & april stevens,1963,
62,63,from a jack to a king,ned miller,ned miller,1963,
63,64,up on the roof,the drifters,the drifters,1963,
64,65,what will mary say,johnny mathis,johnny mathis,1963,
65,66,mama didn't lie,jan bradley,jan bradley,1963,
66,67,the night has a thousand eyes,bobby vee,bobby vee,1963,
67,68,don't say nothin' bad (about my baby),the cookies,the cookies,1963,
68,69,ring of fire,johnny cash,johnny cash,1963,
69,70,just one look,doris troy,doris troy,1963,
70,71,"hello muddah, hello fadduh (a letter from camp)",allan sherman,allan sherman,1963,
71,72,judy's turn to cry,lesley gore,lesley gore,1963,
72,73,"tie me kangaroo down, sport",rolf harris,rolf harris,1963,
73,74,fools rush in,ricky nelson,rick nelson,1963,
74,75,washington square,the village stompers,the village stompers,1963,
75,76,donna the prima donna,dion dimucci,dion,1963,
76,77,"that sunday, that summer",nat king cole,nat king cole,1963,
77,78,another saturday night,sam cooke,sam cooke,1963,
78,79,"painted, tainted rose",al martino,al martino,1963,
79,80,go away little girl,steve lawrence,steve lawrence,1963,
80,81,take these chains from my heart,ray charles,ray charles,1963,
81,82,talk to me,sunny & the sunglows,sunny & the sunglows,1963,
82,83,come and get these memories,martha and the vandellas,martha and the vandellas,1963,
83,84,do the bird,dee dee sharp,dee dee sharp,1963,
84,85,it's all right,the impressions,the impressions,1963,
85,86,shut down,the beach boys,the beach boys,1963,
86,87,one fine day,the chiffons,the chiffons,1963,
87,88,little town flirt,del shannon,del shannon,1963,
88,89,fly me to the moon,joe harnell,joe harnell,1963,
89,90,walk dont run,the kingston trio,the kingston trio,1963,
90,91,hot pastrami,the dartells,the dartells,1963,
91,92,martian hop,the ran-dells,the ran-dells,1963,
92,93,wonderful! wonderful!,the tymes,the tymes,1963,
93,94,abilene,george hamilton iv,george hamilton iv,1963,
94,95,part time love,little johnny taylor,little johnny taylor,1963,
95,96,maria elena,los indios tabajaras,los indios tabajaras,1963,
96,97,detroit city,bobby bare,bobby bare,1963,
97,98,twenty miles,chubby checker,chubby checker,1963,
98,99,"green, green",the new christy minstrels,the new christy minstrels,1963,
99,100,hey girl,freddie scott,freddie scott,1963,
0,1,i want to hold your hand,the beatles,the beatles,1964,
1,2,she loves you,the beatles,the beatles,1964,
2,3,"hello, dolly!",louis armstrong,louis armstrong,1964,
